0,1,0,999,
1,1,1,998,
2,2,1,997,
3,3,2,995,
4,4,3,993,
5,5,5,990,
6,7,7,986,
7,9,10,981,
8,10,14,976,
9,12,19,969,
10,19,24,957,
11,22,31,947,
12,22,43,935,
13,27,53,920,
14,31,65,904,
15,31,80,889,
16,31,96,873,
17,31,111,858,
18,35,127,838,
19,40,142,818,
20,46,162,792,
21,51,182,767,
22,55,208,737,
23,56,233,711,
24,45,263,692,
25,44,289,667,
26,51,308,641,
27,44,333,623,
28,38,359,603,
29,32,377,591,
30,26,397,577,
31,23,409,568,
32,17,423,560,
33,13,432,555,
34,8,440,552,
35,5,445,550,
36,6,448,546,
37,6,450,544,
38,5,454,541,
39,4,456,540,
40,2,459,539,
41,2,460,538,
42,1,461,538,
43,1,462,537,
44,2,462,536,
45,2,463,535,
46,2,464,534,
47,2,465,533,
48,1,466,533,
49,0,467,533,
